川航大客户,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,客户单位名称,实名制/非实,大客户号,运价指令,政策返点/直减,票证类型,授权OFFICE号,名单分配,战队或责任人,备注,政策有效期和截至日期,服务商,,,,,,,,,,,,,,
,中国人民解放军联勤第二十二分部昆明大观干休所,无名单,GN0135KM,PAT A#CGN0135KM,,,KMG319,,,何媛媛,,云南同邦旅游发展有限公司,,,,,,,,,,,,,,
,,无名单,GNF0136KM,PAT A#CGNF0136KM,,,KMG319,,,何媛媛,,云南同邦旅游发展有限公司,,,,,,,,,,,,,,
1,中国电信股份有限公司云南分公司,实名制,GY0119KM,PAT A#CGY0119KM,,,KMG319/KMG279,,,成颖,,昆明同邦星晟航空服务有限公司云南同邦旅游发展有限公司,,,,,,,,,,,,,,
2,中国科学院昆明植物研究所,GP,GP1465KM,PAT A#CGP1465KM,,,KMG319,,,何媛媛,,云南同邦旅游发展有限公司,,,,,,,,,,,,,,
3,云南友脉科技有限公司,实名制,GY0045U6KM,PAT A#CGY0045U6KM,,,KMG319/KMG279,,,成颖,,昆明星晟航空机票销售代理有限公司云南同邦旅游发展有限公司,,,,,,,,,,,,,,
4,云南同邦旅游发展有限公司,GP打包,GP1612ZXKM,PAT A#CGP1612ZXKM,,,KMG319,,,成颖,,云南同邦旅游发展有限公司,,,,,,,,,,,,,,
5,云南同邦旅游发展有限公司,实名制打包,GY0192ZXKM,PAT A#CGY0192ZXKM,,,KMG319,,,成颖,,云南同邦旅游发展有限公司,,,,,,,,,,,,,,
6,云南玉昆足球俱乐部有限公司,实名制,GY0129KM,PAT A#CGY0129KM,,,KMG319,,,何媛媛,,云南同邦旅游发展有限公司,,,,,,,,,,,,,,
7,云南省临沧市人民检察院,GP,GP0985KM,PAT A#CGP0985KM,,,KMG319,,,何媛媛,,云南同邦旅游发展有限公司,,,,,,,,,,,,,,
8,云南省体育工作大队,GP,GP0792KM,PAT A#CGP0792KM,,,KMG319/KMG279,,,成颖,,昆明同邦星晟航空服务有限公司云南同邦旅游发展有限公司,,,,,,,,,,,,,,
9,云南省呈贡体育训练基地,GP,GP0847KM,PAT A#CGP0847KM,,,KMG319/KMG279,,,成颖,,昆明同邦星晟航空服务有限公司云南同邦旅游发展有限公司,,,,,,,,,,,,,,
10,大唐云南发电有限公司,实名制,GY0128KM,PAT A#CGY0128KM,,,KMG319/KMG279,,,成颖,,昆明同邦星晟航空服务有限公司云南同邦旅游发展有限公司,,,,,,,,,,,,,,
11,山东高速云南发展有限公司办公室,实名制,GY0101KM,PAT A#CGY0101KM,,,KMG319/KMG279,,,何媛媛,,昆明同邦旅游发展有限公司昆明同邦星晟航空服务有限公司,,,,,,,,,,,,,,
12,新华通讯社云南分社,GP,GP1152KM,PAT A#CGP1152KM,,,KMG319/KMG279,,,成颖,,昆明同邦星晟航空服务有限公司云南同邦旅游发展有限公司,,,,,,,,,,,,,,
13,昆明同邦星晟航空服务有限公司,GP打包,GP1613ZXKM,PAT A#CGP1613ZXKM,,,KMG279,,,成颖,,昆明同邦星晟航空服务有限公司,,,,,,,,,,,,,,
14,昆明同邦星晟航空服务有限公司,实名制打包,GY0193ZXKM,PAT A#CGY0193ZXKM,,,KMG279,,,成颖,,昆明同邦星晟航空服务有限公司,,,,,,,,,,,,,,
15,昆明电缆集团股份有限公司,实名制,GY0057U4KM,PAT A#CGY0057U4KM,,,KMG279,,,成颖,,昆明同邦星晟航空服务有限公司,,,,,,,,,,,,,,
16,瑞丽市人力资源和社会保障局,GP,GP0894KM,PAT A#CGP0894KM,,,KMG319,,,何媛媛,,云南同邦旅游发展有限公司,,,,,,,,,,,,,,
17,西南林业大学办公室,GP,GP0989KM,PAT A#CGP0989KM,,,KMG319,,,何媛媛,,云南同邦旅游发展有限公司,,,,,,,,,,,,,,
