昆航大客户,,,,,,,,,,,,
序号,客户单位名称,实名制/非实,大客户号,运价指令,政策返点/直减,票证类型,授权OFFICE号,名单分配,战队或责任人,备注,政策有效期和截至日期,服务商
1,山东高速云南发展有限公司,1CNA00B4,1KY30805,PAT A#C1CNA00B4,S舱以上直减5%,BSP,KMG319,营销一部,,,,同邦
2,广州欧阿家具有限公司,1CNA00BA,1KY30825,PAT A#C1CNA00BA,S舱以上直减5%,BSP,KMG319,,,,,同邦
3,云南自由贸易试验区招商服务有限公司,1CNA00BD,1KY30828,PAT A#C1CNA00BD,S舱以上直减5%,BSP,KMG319,,,,,同邦
4,昆明送子鸟医院有限公司嗜,1CNA00BG,1KY30836,PAT A#C1CNA00BG,S舱以上直减5%,BSP,KMG319,,,,,同邦
5,上海行动教育科技股份有限公司尾明分公司,1CNA00E7,1KY30846,PAT A#C1CNA00E7,S舱以上直减5%,BSP,KMG319,,,,,同邦
6,昆明电缆集团股份有限公司,1CNA00DY,1KY30861,PAT A#C1CNA00DY,S舱以上直减5%,BSP,KMG319,,,,,同邦
7,云南出版印刷集团有限责任公司,1CNA00DR,1KY30804,PAT A#C1CNA00DR,S舱以上直减5%,BSP,KMG319,,,,,同邦
8,云南省戎合投资控股有限公司,1CNA00DH,1KY30835,PAT A#C1CNA00DH,S舱以上直减5%,BSP,KMG319,营销二部,,,,同邦
9,国家电投集团云南国际电力投资有限公司,1CNA00DF,1KY30876,PAT A#C1CNA00DF,S舱以上直减5%,BSP,KMG319,营销三部,,,,同邦
10,中科蓉创有限公司,1CNA00DA,1KY30741,PAT A#C1CNA00DA,S舱以上直减5%,BSP,KMG319,,,,,同邦
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
