国航大客户,,,,,,,,,,,
序号,客户单位名称,实名制/非实,大客户号,运价指令,政策返点/直减,票证类型,授权OFFICE号,名单分配,战队或责任人,备注,政策有效期和截至日期
,中国铜业有限公司,非实名制,9KM10FSW,PAT A#C9KM10FSW,Y/B/M/U/H/Q-91%；V/W/S-94%,BSP,KMG319,,,协议,2023年6月1日-2032年5月31日
,云南省戎合投资控股有限公司,非实名制,9KM10FTI,PAT A#C9KM10FTI,Y/B/M/U/H/Q-93%；V/W-96%；S-97%,BSP,KMG319,,,中型套餐,2024年1月1日-2033年12月31日
,中地海外路桥建设有限公司,非实名制,9KM10FUB,PAT A#C9KM10FUB,,BSP,KMG319,,,中型套餐,2025年2月1日-2035年1月31日
,云南出版印刷集团有限责任公司,非实名制,9KM10FTP,PAT A#C9KM10FTP,,BSP,KMG319,,,中型套餐,2024年3月1日-2034年2月28日
,中国石油集团东南亚管道有限公司云南分公司,非实名制,9KM10FUA,PAT A#C9KM10FUA,,BSP,KMG319,,,中型套餐,2025年1月1日-2034年12月31日
,中国电信股份有限公司云南分公司,非实名制,9KM10FTW,PAT A#C9KM10FTW,,BSP,KMG319,,,协议,2024年7月1日-2034年6月30日
,云南中石油昆仑燃气有限公司,非实名制,9KM10FTU,PAT A#C9KM10FTU,,BSP,KMG319,,,中型套餐,\
,大唐云南发电有限公司,非实名制,9KM10FTV,PAT A#C9KM10FTV,,BSP,KMG319,,,协议,2024年7月1日-2034年6月30日
,山东高速云南发展有限公司,非实名制,9KM10FTR,PAT A#C9KM10FTR,,BSP,KMG319,,,中型套餐,2024年4月1日-2034年3月31日
,中国工商银行股份有限公司云南省分行,非实名制,9KM10FUX,PAT A#C9KM10FUX,,BSP,KMG319,,,中型套餐,2025年8月1日-2035年7月31日
,中国人民政治协商会议昆明市委员会办公室,非实名制,9GPA00SE,PAT A#C9GPA00SE,\,GP,KMG319,,,,2023年8月1日-2033年7月31日
,中国共产党昆明市委员会,非实名制,9GPA01DR,PAT A#C9GPA01DR,\,GP,KMG319,,,,2024年12月1日-2034年11月30日
,云南大学,非实名制,9GPA01J2,PAT A#C9GPA01J2,\,GP,KMG319,,,,2025年6月1日-2035年5月31日
,云南省应急管理厅,非实名制,9GPA00W6,PAT A#C9GPA00W6,\,GP,KMG319,,,,2023年10月1日-2033年9月30日
,云南开放大学,非实名制,9GPA01K9,PAT A#C9GPA01K9,\,GP,KMG319,,,,2025年6月1日-2035年5月31日
,昆明市人民代表大会常务委员会办公室行政处,非实名制,9GPA00V5,PAT A#C9GPA00V5,\,GP,KMG319,,,,2023年9月1日-2033年8月31日
,中国科学院昆明动物研究所,非实名制,9GPA00J3,PAT A#C9GPA00J3,\,GP,KMG319,,,,2023年2月1日-2033年1月31日
,云南财经大学,非实名制,9GPA01II,PAT A#C9GPA01II,\,GP,KMG319,,,,2025年5月1日-2035年4月30日
,西南林业大学,非实名制,9GPA01GW,PAT A#C9GPA01GW,\,GP,KMG319,,,,2025年4月1日-2035年3月31日
,红河学院,非实名制,9GPA01DG,PAT A#C9GPA01DG,\,GP,KMG319,,,,2024年12月1日-2034年11月30日
,国家统计局云南调查总队,非实名制,9GPA01KB,PAT A#C9GPA01KB,\,GP,KMG319,,,,2025年6月1日-2035年5月31日
,云南省市场监督管理局办公室,非实名制,9GPA00TB,PAT A#C9GPA00TB,\,GP,KMG319,,,,2023年8月1日-2033年7月31日
,云南省归国华侨联合会,非实名制,9GPA01QS,PAT A#C9GPA01QS,\,GP,KMG319,,,,2025年11月1日-2035年10月31日
,昆明市人民政府台湾事务办公室,非实名制,9GPA01IS,PAT A#C9GPA01IS,\,GP,KMG319,,,,2025年6月1日-2035年5月31日
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
