产品名称,航线,订座舱位,上浮价格,政策返点,产品代码,出票OFFICE,备注,产品有限期,,,,,,,,,,,,,,,,,
两舱类,B41   AB41优享公务舱,A,200,80,B41,KMG319/KMG279,公务舱服务+赠月卡视频会员+华夏PLUS月卡,有效,,,,,,,,,,,,,,,,,
两舱类,B42 AB401 超值公务舱,A,7天外(不含)-100,0,B42,KMG319/KMG279,会员积分,有效,,,,,,,,,,,,,,,,,
两舱类,B42 AB402 超值公务舱,A,4-7天(含)-50,0,B42,KMG319/KMG279,会员积分,有效,,,,,,,,,,,,,,,,,
两舱类,B11 AB1101 公务舱至尊积分套餐,A,800,350,B11,KMG319/KMG279,公务舱服务+5000会员积分+代理人提供权益,有效,,,,,,,,,,,,,,,,,
两舱类,B11 AB1102 公务舱至尊积分套餐,A,1200,500,B11,KMG319/KMG279,公务舱服务+8000会员积分+代理人提供权益,有效,,,,,,,,,,,,,,,,,
两舱类,B02 B0201 机+超经,I,Y*15%,30,B02,KMG319/KMG279,公务舱服务+8000会员积分+代理人提供权益,有效,,,,,,,,,,,,,,,,,
两舱类,B02 B0202 机+超经,I,Y*20%,90,B02,KMG319/KMG279,公务舱服务+8000会员积分+代理人提供权益,有效,,,,,,,,,,,,,,,,,
两舱类,B02  B0203 机+超经,I,Y*25%,150,B02,KMG319/KMG279,公务舱服务+8000会员积分+代理人提供权益,有效,,,,,,,,,,,,,,,,,
两舱类,B02  B0204 机+超经,I,Y*30%,200,B02,KMG319/KMG279,公务舱服务+8000会员积分+代理人提供权益,有效,,,,,,,,,,,,,,,,,
两舱类,B02  B0205 机+超经,I,Y*35%,260,B02,KMG319/KMG279,公务舱服务+8000会员积分+代理人提供权益,有效,,,,,,,,,,,,,,,,,
溢价类,所有航线：高舱高返,外放经济舱 A01 A0101,160,80,A0101,KMG319/KMG279,赠月卡视频会员+会员积分+代理人提供权益,有效,,,,,,,,,,,,,,,,,
溢价类,所有航线：高舱高返,外放经济舱 A01 A0102,260,130,A0102,KMG319/KMG279,赠月卡视频会员+会员积分+代理人提供权益,有效,,,,,,,,,,,,,,,,,
溢价类,所有航线：高舱高返,外放经济舱 A01 A0103,360,190,A0103,KMG319/KMG279,赠月卡视频会员+会员积分+代理人提供权益,有效,,,,,,,,,,,,,,,,,
溢价类,所有航线：高舱高返,外放经济舱 A01 A0104,460,230,A0104,KMG319/KMG279,赠月卡视频会员+会员积分+代理人提供权益,有效,,,,,,,,,,,,,,,,,
溢价类,所有航线：高舱高返,外放经济舱 A01 A0105,560,290,A0105,KMG319/KMG279,赠月卡视频会员+会员积分+代理人提供权益,有效,,,,,,,,,,,,,,,,,
溢价类,所有航线：商务优行 ,V1舱以上 A09 ,跳舱差价,上浮金额*0.5,A09,KMG319/KMG279,优先选座+会员积分+代理人提供权益,有效,,,,,,,,,,,,,,,,,
权益类,所有航线,A05  外放经济舱,100,60,A05,KMG319/KMG279,双倍会员积分+优先选座,有效,,,,,,,,,,,,,,,,,
权益类,所有航线,A12  外放经济舱,68,20,A12,KMG319/KMG279,4小时(含)外免改一次,有效,,,,,,,,,,,,,,,,,
权益类,所有航线,B22 外放经济舱,160,40,B22,KMG319/KMG279,出港休息室1次,有效,,,,,,,,,,,,,,,,,
权益类,所有航线,B22 外放经济舱,90,25,B22,KMG319/KMG279,出港快速安检1次,有效,,,,,,,,,,,,,,,,,
权益类,指定航线，按照文件操作,订U舱： A1101机+接送机,150,70,A1101,KMG319/KMG279,接/送机一次，出票后CTCM手机会自动收到验证码，服务商不明确,有效,,,,,,,,,,,,,,,,,
权益类,指定航线，按照文件操作,订U舱：A1102机+接送机,200,100,A1102,KMG319/KMG279,接/送机一次，出票后CTCM手机会自动收到验证码，服务商不明确,有效,,,,,,,,,,,,,,,,,
权益类,重庆两江经典游船票1张(重庆进出港航班适用),B51 外放经济舱,148,40,B51,KMG319/KMG279,重庆两江经典游船票1张(重庆进出港航班适用),有效,,,,,,,,,,,,,,,,,
积分/行李类,机+PLUS积分,订Z舱：A31，运价标识A3101,120,12,A3101,KMG319/KMG279,会员积分500+PLUS月卡+优先选座+行李额,有效,,,,,,,,,,,,,,,,,
积分/行李类,机+PLUS积分,订Z舱：A31，运价标识A3102,200,80,A3102,KMG319/KMG279,会员积分1000+PLUS月卡+优先选座+行李额,有效,,,,,,,,,,,,,,,,,
积分/行李类,机+PLUS积分,订Z舱：A31，运价标识A3103,300,120,A3103,KMG319/KMG279,会品积分2000+PLUS月卡+优先选座+行李额,有效,,,,,,,,,,,,,,,,,
积分/行李类,机+PLUS积分,订Z舱：A31，运价标识 A3104,400,160,A3104,KMG319/KMG279,会员积分3000+PLUS月卡+优先选座+行李额,有效,,,,,,,,,,,,,,,,,
积分/行李类,机+PLUS积分,订Z舱：A31，运价标识A3105,500,240,A3105,KMG319/KMG279,会员积分4000+PLUS月卡+优先选座+行李颉,有效,,,,,,,,,,,,,,,,,
积分/行李类,机+20KG行李,订Z舱  运价标识：A31A,130,20,A31A,KMG319/KMG279,20KG托运行李额+会员积分,有效,,,,,,,,,,,,,,,,,
积分/行李类,机+20KG行李,订Z舱  运价标识：A31A,260,40,A31A,KMG319/KMG279,20KG托运行李额+会员积分,有效,,,,,,,,,,,,,,,,,
积分/行李类,积分,外放经济舱,220,100,A50,KMG319/KMG279,1500积分,有效,,,,,,,,,,,,,,,,,
积分/行李类,积分,外放经济舱,320,140,A50,KMG319/KMG279,2500积分,有效,,,,,,,,,,,,,,,,,
积分/行李类,积分,外放经济舱,420,180,A50,KMG319/KMG279,3500积分,有效,,,,,,,,,,,,,,,,,
区域产品,助力复工(内蒙航线),M24  订：外放经济舱,80,50,,KMG319/KMG279,代理人提供服务,有效,,,,,,,,,,,,,,,,,
区域产品,尊享超经(内蒙航线),M33  订B舱,跳舱差价,上浮金额*0.5,,KMG319/KMG279,超经座位+会员积分+代理人提供权益,有效,,,,,,,,,,,,,,,,,
区域产品,淮渝随心改(华东),ZD13 订：L1舱以上,跳舱差价,30,,KMG319/KMG279,享“出新退旧”权益一次,有效,,,,,,,,,,,,,,,,,
区域产品,淮渝随心改(华东),ZD13 订：L1舱以上,跳舱差价,30,,KMG319/KMG279,享“出新退旧”权益一次,有效,,,,,,,,,,,,,,,,,
区域产品,淮渝随心改(华东),ZD13 订：L1舱以上,跳舱差价,30,,KMG319/KMG279,享“出新退旧”权益一次,有效,,,,,,,,,,,,,,,,,
区域产品,淮渝随心改(华东),ZD13 订：L1舱以上,跳舱差价,30,,KMG319/KMG279,享“出新退旧”权益一次,有效,,,,,,,,,,,,,,,,,
区域产品,淮渝随心改(华东),ZD13 订：L1舱以上,跳舱差价,30,,KMG319/KMG279,享“出新退旧”权益一次,有效,,,,,,,,,,,,,,,,,
